"GEO_ID","NAME","B19083_001E","B19083_001M",
"Geography","Geographic Area Name","Estimate!!Gini Index","Margin of Error!!Gini Index",
"0500000US34011","Cumberland County, New Jersey","0.4647","0.0337",
"0500000US34013","Essex County, New Jersey","0.5562","0.0110",
"0500000US34015","Gloucester County, New Jersey","0.4247","0.0172",
"0500000US34017","Hudson County, New Jersey","0.5119","0.0146",
"0500000US34019","Hunterdon County, New Jersey","0.4328","0.0271",
"0500000US34021","Mercer County, New Jersey","0.5006","0.0178",
"0500000US34023","Middlesex County, New Jersey","0.4329","0.0105",
"0500000US34025","Monmouth County, New Jersey","0.4826","0.0148",
"0500000US34027","Morris County, New Jersey","0.4642","0.0155",
"0500000US34029","Ocean County, New Jersey","0.4653","0.0159",
"0500000US34031","Passaic County, New Jersey","0.4682","0.0128",
"0500000US34033","Salem County, New Jersey","0.4101","0.0229",
"0500000US34035","Somerset County, New Jersey","0.4687","0.0190",
"0500000US34037","Sussex County, New Jersey","0.4108","0.0289",
"0500000US34039","Union County, New Jersey","0.4883","0.0119",
"0500000US34041","Warren County, New Jersey","0.4539","0.0271",
"0500000US35001","Bernalillo County, New Mexico","0.4768","0.0119",
"0500000US35013","Doña Ana County, New Mexico","0.4922","0.0246",
"0500000US35025","Lea County, New Mexico","0.4787","0.0418",
"0500000US35031","McKinley County, New Mexico","0.5108","0.0455",
"0500000US35035","Otero County, New Mexico","0.4455","0.0405",
